"He","errHe","U","errU","Th","errTh"
0.033826212911822,0.000415575346627399,0.185483985522086,0.00772940731733923,0.137991756241474,0.00967553543803754
0.0232500062196416,0.000491516841955793,0.288695398614744,0.011757362926897,0.246304476992424,0.0134713381358783
0.0230503518141903,0.000569242052947779,0.301984872863969,0.0137580699646535,0.237008090852225,0.0170412157334266
0.0215581655194028,0.000417828662516338,0.243619497565603,0.00978612349391216,0.325217192046341,0.00740426265052072
0.0236687394386307,0.000429896057145255,0.266253690532786,0.009937683629175,0.2603715206946,0.0102358005650645
0.0216339409144055,0.000491803529382246,0.258220262983832,0.0117056941114659,0.309100918728059,0.00998931232738566
0.0209901772683068,0.000514392777475155,0.23662062531633,0.0120877469526586,0.343575829317534,0.00827288671048972
0.0221407232391595,0.00047503772152861,0.333205825331654,0.0122571218389687,0.223979709885156,0.0159056555622067
0.0123506601421704,0.00051336150188892,0.327981064832399,0.0194751203444713,0.425005732324194,0.0149004579165918
0.0358317632211913,0.000382344379816641,0.126866430404322,0.00608954535616073,0.156498305171852,0.00542203556538105
0.0235552787250111,0.000698507971336814,0.293870989325444,0.0164520747116458,0.235023436174333,0.0202631206041012
0.0314578223641966,0.000319629331107815,0.17029457865409,0.00579130997037238,0.200548974061978,0.00504740700427767
0.0242035371009827,0.000537809002203973,0.315353756300724,0.0127226432363226,0.200575501679622,0.0184779582529511
0.0263017455657498,0.000445915705061662,0.195757450896238,0.0087413761017632,0.278207637788767,0.0063179721603677
0.0202820282791675,0.000447954071428741,0.252548869666128,0.0111787861155832,0.341810564750522,0.00814890168848082
0.0375961231042087,0.000312585272505953,0.111885370990719,0.00496573809750454,0.136192166925107,0.00430310080116764
0.0213715930019161,0.000428963159835294,0.260083969527619,0.0104931328565325,0.312484170434058,0.00869462650474835
0.022956682068805,0.00049223350100169,0.275798681482576,0.0117097669279808,0.265067677141323,0.0121188262399649
0.0226655454810246,0.000502762172891056,0.29534952503519,0.0122477285915771,0.251339565344319,0.0141534053881527
0.0226240267388766,0.000553972821517012,0.293711297586205,0.0135727674648712,0.253808167636264,0.0151944437544706
0.0348831863672441,0.000356110943772826,0.165468082752421,0.00655990591647487,0.136868189902697,0.00716011686961948
0.0228261643249756,0.00054379726175121,0.316007669099339,0.0134276347294377,0.227469044401148,0.0174643043171524
0.0361344760201883,0.000299250990649741,0.123021824935411,0.0048767853649267,0.154288654660823,0.0040600842975239
0.0210538374379132,0.000609027719291725,0.277154784671177,0.0154827144577854,0.30176846657056,0.0137757549358023
0.0307762630807383,0.000321215577402822,0.160792144068574,0.00568538753426944,0.223682594316659,0.00424123713551462
