"He","errHe","U","errU","Th","errTh"
0.0308737571380819,0.000419409662376017,0.197338186767669,0.00803394187662255,0.185186670470693,0.00845243889693899
0.0317833951593315,0.000434890682353172,0.229219239364714,0.00876614563312938,0.135112857448656,0.0123854501785171
0.0310455199123029,0.000484665603883131,0.202904153203607,0.0094503879343633,0.176185448550334,0.0103204886366587
0.0290982355564657,0.000487147587836978,0.182688778136712,0.00926380052749877,0.235346510733975,0.00722859966693783
0.0289550760122438,0.00044719464595306,0.167565869227022,0.00806062846429399,0.253332610528101,0.00549538416701415
0.0309681349873332,0.000438675992153861,0.216518553711905,0.00872399086643631,0.164118746541432,0.0105567719460763
0.0303062806269833,0.000549379019399843,0.201452706032862,0.0107804505621867,0.192421681427472,0.0108286775461944
0.031767667603445,0.000465497286714451,0.21404463852374,0.00909200029895444,0.15060200940736,0.0118656435260868
0.0294096647666046,0.000503520629627089,0.17266572880454,0.00904300740081274,0.239140975863367,0.00690947993149617
0.0312909538748007,0.000397463133153963,0.198617967317422,0.00765667100600039,0.175562955186563,0.00833761539830143
0.0298021450481007,0.000398562075972412,0.199082831049218,0.00771564057977107,0.204874267988767,0.0075197965460208
0.0330312069072884,0.000590373389695292,0.205501059264274,0.0110352834412594,0.133874802589958,0.0162221496340944
0.0283071243040348,0.000293608418231994,0.158515783085341,0.00516670951454812,0.275341730833963,0.00301672987384223
0.0298242981158188,0.000401688108507522,0.180530164406848,0.00743462522041856,0.222983873276776,0.00624487793484793
0.0280853492495223,0.000427591333638259,0.16038468606266,0.00773356805991382,0.277908328946894,0.00441052049866778
0.0297540658484784,0.00045183750041729,0.164800450040051,0.00800496509314152,0.240118232990382,0.00575292863826705
0.0322622949790121,0.000508853793503193,0.209984491764926,0.00976549039439773,0.144769608654832,0.0132306272051404
0.0303637089921246,0.000521754027729339,0.227529546988775,0.0105758892209195,0.165196273168733,0.0131748890916701
0.031532161926824,0.00045749887090444,0.207330656940513,0.00891349106022925,0.162026104523007,0.0106444598060225
0.0316382362977557,0.000543672265396459,0.202116520328998,0.010471352200005,0.165118753715889,0.012166488640348
0.0294096325539019,0.000448196678819228,0.182945917493454,0.00840126207698209,0.228861431428507,0.00689924985112544
0.0295362773989832,0.000463408320069577,0.143613270708233,0.0074044335327335,0.265661181312103,0.00423936459496505
0.0326081827263944,0.000617823701703121,0.23244564477886,0.0124827037807968,0.115390700693252,0.0191142507751739
0.0298938852846793,0.000340971268639327,0.181367030242475,0.00625173451334767,0.220755264063939,0.0054305009807205
0.0292240156782832,0.000381564732078675,0.171943551133323,0.0069176380557445,0.243576135301012,0.00509430404141183
